citation_id:ID,:LABEL,citation_number,title,url,source_type,reliability_score:float,times_referenced:int
cite_002,Citation,2,"Jeffrey Epstein \- Wikipedia, accessed November 12, 2025,",https://en.wikipedia.org/wiki/Jeffrey\_Epstein,Wikipedia,1.0,9
cite_003,Citation,3,"Jeffrey Epstein | Death, Island, List, Sex Crimes, & Facts | Britannica, accessed November 12, 2025,",https://www.britannica.com/biography/Jeffrey-Epstein,Web Source,1.0,0
cite_004,Citation,4,"Jeffrey Epstein | Research Starters \- EBSCO, accessed November 12, 2025,",https://www.ebsco.com/research-starters/biography/jeffrey-epstein,Web Source,1.0,0
cite_005,Citation,5,"Annual Report \- Council on Foreign Relations, accessed November 12, 2025,",https://www.cfr.org/sites/default/files/report\_pdf/CFR\_annual\_report\_2002\_0.pdf,PDF Document,1.0,1
cite_006,Citation,6,"COUNCIL ON FOREIGN RELATIONS, accessed November 12, 2025,",https://www.cfr.org/sites/default/files/report\_pdf/CFR\_annual\_report\_2004.pdf,PDF Document,1.0,1
cite_007,Citation,7,"People in the News: Jeffrey E. Epstein \- The Harvard Crimson, accessed November 12, 2025,",https://www.thecrimson.com/article/2003/6/5/people-in-the-news-jeffrey-e/,News Article,1.0,1
cite_008,Citation,8,"Ghislaine Maxwell \- Wikipedia, accessed November 12, 2025,",https://en.wikipedia.org/wiki/Ghislaine\_Maxwell,Wikipedia,1.0,2
cite_009,Citation,9,"The murky life and death of Robert Maxwell – and how it shaped his daughter Ghislaine | Jeffrey Epstein | The Guardian, accessed November 12, 2025,",https://www.theguardian.com/us-news/2019/aug/22/the-murky-life-and-death-of-robert-maxwell-and-how-it-shaped-his-daughter-ghislaine,News Article,1.0,3
cite_010,Citation,10,"The TerraMar Project \- Wikipedia, accessed November 12, 2025,",https://en.wikipedia.org/wiki/The\_TerraMar\_Project,Wikipedia,1.0,1
cite_011,Citation,11,"TerraMar Project \- InfluenceWatch, accessed November 12, 2025,",https://www.influencewatch.org/non-profit/terramar-project/,Web Source,1.0,0
cite_012,Citation,12,"Learn About Efforts to Protect High Seas at Free, Public Seminar \- UTD News Center, accessed November 12, 2025,",https://news.utdallas.edu/campus-community/learn-about-efforts-to-protect-high-seas-at-free-p/,News Article,1.0,0
cite_013,Citation,13,"Leslie H. Wexner \- The Ohio State University Board of Trustees, accessed November 12, 2025,",https://trustees.osu.edu/people/leslie-wexner,Web Source,1.0,0
cite_014,Citation,14,"Leslie H. Wexner | Research Starters \- EBSCO, accessed November 12, 2025,",https://www.ebsco.com/research-starters/biography/leslie-h-wexner,Web Source,1.0,0
cite_015,Citation,15,"Leslie H. Wexner, accessed November 12, 2025,",https://www.wexnerfoundation.org/our-philanthropic-legacy/leslie-h-wexner/,Web Source,1.0,0
cite_016,Citation,16,"Les Wexner \- Wikipedia, accessed November 12, 2025,",https://en.wikipedia.org/wiki/Les\_Wexner,Wikipedia,1.0,2
cite_017,Citation,17,"Jean-Luc Brunel \- Wikipedia, accessed November 12, 2025,",https://en.wikipedia.org/wiki/Jean-Luc\_Brunel,Wikipedia,1.0,1
cite_018,Citation,18,"Runway to Ruin: Jean-Luc Brunel's Role in the Epstein Network (8/3/25) \- Apple Podcasts, accessed November 12, 2025,",https://podcasts.apple.com/my/podcast/runway-to-ruin-jean-luc-brunels-role-in-the-epstein/id1575753383?i=1000720500215\&l=ms,Video/Audio,1.0,0
cite_019,Citation,19,"Jean-Luc Brunel: The French Modeling Honcho at the Center of Jeffrey Epstein's Web, accessed November 12, 2025,",https://www.thefashionlaw.com/jean-luc-brunel-at-the-center-of-jeffrey-epsteins-web-of-underage-girls/,Web Source,1.0,1
cite_020,Citation,20,"Stroll v. Epstein, 818 F. Supp. 640 (S.D.N.Y. 1993\) \- Justia Law, accessed November 12, 2025,",https://law.justia.com/cases/federal/district-courts/FSupp/818/640/1491208/,Court Document,1.0,2
cite_021,Citation,21,"Jeffrey Epstein worked at financial firm that engaged in massive Ponzi scheme in 1980s and 1990s \- CBS News, accessed November 12, 2025,",https://www.cbsnews.com/news/jeffrey-epstein-worked-at-towers-financial-with-stephen-hoffenberg-who-committed-ponzi-scheme-crimes/,News Article,1.0,2
cite_022,Citation,22,"Jeffrey Epstein's fortune is built on fraud, a former mentor says \- Quartz, accessed November 12, 2025,",https://qz.com/1661999/jeffrey-epsteins-ex-mentor-accuses-him-of-fraud,Web Source,1.0,0
cite_023,Citation,23,"Towers Financial Corporation \- Wikipedia, accessed November 12, 2025,",https://en.wikipedia.org/wiki/Towers\_Financial\_Corporation,Wikipedia,1.0,1
cite_024,Citation,24,"Steven Hoffenberg \- Wikipedia, accessed November 12, 2025,",https://en.wikipedia.org/wiki/Steven\_Hoffenberg,Wikipedia,1.0,2
cite_025,Citation,25,"In Re Towers Financial Corp. Noteholders Litigation, 996 F. Supp. 266 (S.D.N.Y. 1998), accessed November 12, 2025,",https://law.justia.com/cases/federal/district-courts/FSupp/996/266/1626039/,Court Document,1.0,0
cite_026,Citation,26,"As focus turns to Jeffrey Epstein's ranch, official says: ""There is a ..., accessed November 12, 2025,",https://www.cbsnews.com/news/jeffrey-epstein-new-mexico-ranch-official-says-there-is-a-story-to-be-told-in-new-mexico/,News Article,1.0,1
