claim_id:ID,:LABEL,claim_number,text,verification_status,section,subsection,confidence:float,analysis,citations:string[],entities:string[]
claim_1_1_1,Claim,1.1.1,Jeffrey Epstein was born in 1953,Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Confirmed by Wikipedia citation [2],2,person_001
claim_1_1_2,Claim,1.1.2,"Epstein graduated from Lafayette High School in 1969, at age 16, having skipped two grades",Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Confirmed by Wikipedia citation [2],2,person_001
claim_1_1_3,Claim,1.1.3,Epstein attended Cooper Union from 1969 to 1971,Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Confirmed by Wikipedia citation [2],2,person_001
claim_1_1_4,Claim,1.1.4,Epstein transferred to Courant Institute at NYU 1971-1974 but did not complete degree,Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Confirmed by Wikipedia citation [2],2,person_001;org_003
claim_1_1_5,Claim,1.1.5,"Despite lack of college degree, Epstein taught physics and mathematics at Dalton School 1974-1976",Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Employment confirmed. Notes indicate timeline verification shows sources state 1974-1976,2,person_001;org_001
claim_1_1_6,Claim,1.1.6,Epstein sexually abused minors while a teacher at Dalton,Speculative,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,0.3,"This claim, presented as a question in the notes, must be classified as Speculative. None of the provided research materials offer any corroboration or evidence related to this specific query",,person_001;org_001
claim_1_1_7,Claim,1.1.7,Epstein was hired by Bear Stearns in 1976,Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Employment at the firm beginning in 1976 is a confirmed fact,2,person_001;org_002
claim_1_1_8,Claim,1.1.8,Epstein was brought on by CEO Alan 'Ace' Greenberg after tutoring Greenberg's son,Speculative,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,0.5,This specific chain of events is not explicitly verified by the provided materials,,person_001;person_010;org_002
claim_1_1_9,Claim,1.1.9,Epstein's tenure at Bear Stearns lasted until 1981,Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Departure in 1981 is factual,2,person_001;org_002
claim_1_1_10,Claim,1.1.10,Epstein left Bear Stearns due to mysterious circumstances surrounding insider trading issue,Speculative,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,0.3,"While the departure in 1981 is factual, the reason for it (insider trading) is not substantiated by the provided materials",,person_001;org_002
claim_1_1_11,Claim,1.1.11,Epstein was a Member of the Trilateral Commission and CFR,Factual,I. Verification of Foundational Timelines and Biographies,Jeffrey E. Epstein: Career and Sourcing,1.0,Factual and verified by primary-source documents. CFR Annual Report 2002 and 2004 list Jeffrey Epstein in membership roster. Harvard Crimson 2003 confirms membership in both organizations,5;6;7,person_001;org_005;org_006
claim_1_2_1,Claim,1.2.1,Ghislaine Noelle Maxwell was born in 1961,Factual,I. Verification of Foundational Timelines and Biographies,Ghislaine N. Maxwell: Biography and Associations,1.0,Confirmed by citation [8],8,person_002
claim_1_2_2,Claim,1.2.2,Ghislaine Maxwell is youngest child of Robert Maxwell and Elisabeth 'Betty' Maxwell,Factual,I. Verification of Foundational Timelines and Biographies,Ghislaine N. Maxwell: Biography and Associations,1.0,Confirmed by citation [8],8,person_002;person_004;person_005
claim_1_2_3,Claim,1.2.3,Ghislaine Maxwell was educated at Oxford University,Factual,I. Verification of Foundational Timelines and Biographies,Ghislaine N. Maxwell: Biography and Associations,1.0,Confirmed by citation [9],9,person_002
claim_1_2_4,Claim,1.2.4,Maxwell moved to New York City in 1992 following death of father in November 1991 and subsequently met Epstein,Factual,I. Verification of Foundational Timelines and Biographies,Ghislaine N. Maxwell: Biography and Associations,0.9,Timeline is supported by research which places her in New York after father's death,9,person_002;person_004;person_001
claim_1_2_5,Claim,1.2.5,Maxwell founded The TerraMar Project in 2012,Factual,I. Verification of Foundational Timelines and Biographies,Ghislaine N. Maxwell: Biography and Associations,1.0,"Multiple sources confirm Maxwell founded The TerraMar Project, a web-based environmental non-profit, in 2012. Organization's stated goal was to protect the 'ocean commons'",9,person_002;org_011
claim_1_2_6,Claim,1.2.6,"The TerraMar Project announced closure on July 12, 2019, shortly after Epstein's arrest by NY federal prosecutors",Factual,I. Verification of Foundational Timelines and Biographies,Ghislaine N. Maxwell: Biography and Associations,0.95,"Timeline establishes direct and immediate correlation between Epstein's final arrest on federal sex trafficking charges and dissolution of Maxwell's primary public-facing entity, strongly suggesting awareness of imminent legal or reputational jeopardy",10,org_011;person_001;person_002
claim_1_3_1,Claim,1.3.1,Leslie H. 'Les' Wexner was close friend & mentor to Epstein who managed Wexner's money,Factual,I. Verification of Foundational Timelines and Biographies,Leslie H. Wexner: Financial Relationship,1.0,Wexner retained Jeffrey Epstein as his financial manager from 1987 to 2007 and was initially the 'main client' of Epstein's money-management firm,16,person_003;person_001
claim_1_3_2,Claim,1.3.2,"In 1991, Wexner made Epstein trustee of Ohio Higher Education Trust ($230M philanthropic fund), Wexner Foundation, and Wexner Heritage Foundation",Factual,I. Verification of Foundational Timelines and Biographies,Leslie H. Wexner: Financial Relationship,0.9,Claims are consistent with documented role Epstein played as manager of Wexner's assets,16,person_003;person_001;org_013
claim_1_3_3,Claim,1.3.3,Epstein and Wexner met at Bear Stearns where Epstein worked 1976-1981,Speculative,I. Verification of Foundational Timelines and Biographies,Leslie H. Wexner: Financial Relationship,0.4,Not directly verified by provided materials; the documented financial relationship begins in 1987,,person_001;person_003;org_002
claim_1_4_1,Claim,1.4.1,"Jean-Luc Brunel began career at Karin Models in 1976, later purchased it",Factual,I. Verification of Foundational Timelines and Biographies,Jean-Luc Brunel: Business and Financials,0.9,Career path at Karin Models confirmed,17,person_011;org_014
