:START_ID,:END_ID,:TYPE,section,confidence:float
claim_1_1_1,person_001,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_1_2,person_001,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_1_3,person_001,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_1_4,person_001,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_1_4,org_003,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_1_5,person_001,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_1_5,org_001,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_1_6,person_001,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,0.3
claim_1_1_6,org_001,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,0.3
claim_1_1_7,person_001,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_1_7,org_002,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_1_8,person_001,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,0.5
claim_1_1_8,person_010,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,0.5
claim_1_1_8,org_002,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,0.5
claim_1_1_9,person_001,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_1_9,org_002,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_1_10,person_001,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,0.3
claim_1_1_10,org_002,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,0.3
claim_1_1_11,person_001,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_1_11,org_005,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_1_11,org_006,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_2_1,person_002,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_2_2,person_002,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_2_2,person_004,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_2_2,person_005,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_2_3,person_002,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_2_4,person_002,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,0.9
claim_1_2_4,person_004,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,0.9
claim_1_2_4,person_001,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,0.9
claim_1_2_5,person_002,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
claim_1_2_5,org_011,CLAIM_ABOUT,I. Verification of Foundational Timelines and Biographies,1.0
